지역구,읍면동,등록인구,65세이상 고령자,수급권자수,미성년수,직장인수,5분이내도보접근의료시설수평균,등록인구비율,병원 및 요양병원수,병원 및 요양병원 의사수,의원수,의원 의사수,치과수,치과 의사수,약국수,약사 수,일일환자수,월 요양급여비용,환자건수,총진료비,건강보험료 건수 합계,건강보험료 금액 합계
처인구,동부동,0.01243000580033642,0.013335811473361065,0.02928355225998928,0.008403361344537815,0.012430005800336421,0.005954576268256457,0.020231425427332948,0.010248973599714774,0.014500876989652103,0.011075597861678617,0.009434102668641472,0.012648726398025603,0.01265383699455006,0.012648726398025603,0.012648726398025603,0.0171751888202252,0.008323672138991751,0.014944002547721904,0.01597405479052992,0.014944002547721904,0.016012040034956404
처인구,모현읍,0.02266764514921466,0.02624350289365575,0.047232158805099754,0.02160524987380111,0.02266764514921466,0.003679480026621186,0.036894493841440494,0.018690264544825547,0.02644413359364238,0.020197715606628013,0.017204247128206177,0.02306650907372774,0.023075828875373693,0.02306650907372774,0.02306650907372774,0.03132107030369098,0.015179240413545344,0.02725222757752468,0.02913065459519292,0.02725222757752468,0.02919992536267256
처인구,백암면,0.008112399681583293,0.016799225794874095,0.017963089014081786,0.0032960180538646553,0.008112399681583296,0.003826586706522688,0.013203968834047508,0.006688956666828861,0.009463946498749692,0.0072284500916318505,0.006157134012201328,0.008255146912401272,0.008258482325295172,0.008255146912401272,0.008255146912401272,0.011209326733585018,0.0054324154223751725,0.009753150839755679,0.010425410822638696,0.009753150839755679,0.010450201759162786
처인구,양지면,0.015379323788303851,0.018130585161495686,0.029886988467127205,0.0165097841256644,0.015379323788303851,0.0035894457691165445,0.02503181795276845,0.012680789214396464,0.01794155900009223,0.013703549974143298,0.011672570546122493,0.015649941111020006,0.01565626431954971,0.015649941111020006,0.015649941111020006,0.021250415666286396,0.010298663652254547,0.01848982676005127,0.019764283684325944,0.01848982676005127,0.01981128184205785
처인구,역삼동,0.02906996870166349,0.022381877105617905,0.00014482468971310227,0.0,0.0290699687016635,0.01645575967314594,0.0473150948929316,0.0239692037601318,0.03391310084702052,0.025902424211458882,0.02206347074256916,0.029581489052608264,0.0295934411693972,0.029581489052608264,0.029581489052608264,0.04016749545165893,0.019466514533472676,0.03494943552867027,0.03735841159356454,0.03494943552867027,0.037447247422311536
처인구,원삼면,0.007176033115469914,0.014306558739395807,0.007979840403191935,0.005333016598865694,0.007176033115469915,0.0032187355693132527,0.011679912396804508,0.005916889753111744,0.00837157883532788,0.006394112625987867,0.005446452258540538,0.007302303873284886,0.0073052542990922715,0.007302303873284886,0.007302303873284886,0.009915500098563824,0.004805383671671535,0.008627402020779162,0.009222066989065369,0.008627402020779162,0.009243996453643436
처인구,유림동,0.02909392226498267,0.023611547277998187,0.057640226505814705,0.039409686135938475,0.02909392226498268,0.011881268828296081,0.04735408238318664,0.02398895430908736,0.03394104513608479,0.025923767728021876,0.022081650973476762,0.029605864107097292,0.029617826072393088,0.029605864107097292,0.029605864107097292,0.04020059334232227,0.019482554880583702,0.034978233754272,0.03738919480791176,0.034978233754272,0.03747810383710389
처인구,이동읍,0.018432503669398314,0.023213335811473362,0.03495585260708579,0.016236600647326068,0.018432503669398314,0.003429641108345247,0.03000125900314382,0.015198242584826145,0.021503406564301185,0.01642404689953128,0.013989867329949906,0.0187568452895261,0.018764423812875398,0.0187568452895261,0.0187568452895261,0.02546915391969017,0.012343205603386078,0.02216051916797388,0.02368798762214925,0.02216051916797388,0.023744316088002027
처인구,중앙동,0.022121257742436066,0.021699106801426216,0.045083925907688734,0.018137007453157942,0.022121257742436062,0.015424883040383603,0.03600517840167009,0.018239749058570596,0.025806716628464697,0.019710864088505517,0.016789551031100365,0.022510507336746886,0.022519602491226375,0.022510507336746886,0.022510507336746886,0.0305660982601412,0.0148133556579022,0.02659533208366083,0.02842848095883785,0.02659533208366083,0.028496082003910968
처인구,포곡읍,0.029263774804882306,0.027941456078172507,0.05796849580249773,0.029396917777711792,0.029263774804882306,0.0073891491902736755,0.04763053913226793,0.024129003656226746,0.03413919554944968,0.026075112663650316,0.022210565338094304,0.02977870540256491,0.029790737202727565,0.02977870540256491,0.02977870540256491,0.040435287476116806,0.019596295523734594,0.03518243935399331,0.037607475782373896,0.03518243935399331,0.03769690386926787
