지역,사업장명,의사수,위도,경도
처인구,두리이비인후과의원,1,37.2316123477,127.1878663456
기흥구,제이민의원,1,37.3200530391,127.110380987
수지구,지니여성의원,1,37.3126742793,127.0798246757
수지구,JK서울안과의원,1,37.2971065845,127.0695986719
처인구,용인서울안과의원,2,37.235083647,127.2058223717
수지구,비전안과의원,4,37.3126742793,127.0798246757
수지구,루미나피부과의원,1,37.3126742793,127.0798246757
기흥구,홍승환정형외과의원,2,37.2811266369,127.1118113199
기흥구,하나의원,1,37.2945301484,127.1200802816
기흥구,더좋은소아청소년과의원,2,37.3140161364,127.1111118459
수지구,광교고운꿈피부과의원,1,37.2971065845,127.0695986719
기흥구,노블클래식의원,1,37.2543217861,127.1098852831
수지구,이지재활의학과의원,2,37.2968448994,127.0695211825
수지구,THE나을신경외과의원,1,37.3236653144,127.0962536798
기흥구,허은주소아청소년과의원,2,37.3003023414,127.1072783973
기흥구,연세의원,1,37.3077128173,127.1103205396
기흥구,미젠의원,1,37.2765258357,127.0715432154
기흥구,삼성정형외과의원,2,37.2535998246,127.109629647
수지구,바로새움정형외과의원,2,37.3389826577,127.0944331611
기흥구,박상현내과의원,2,37.3041049423,127.1235301616
기흥구,다정한내과의원,1,37.2542656208,127.109254085
기흥구,동백미즈산부인과의원,6,37.2776789103,127.1539939153
기흥구,미래마취통증의학과의원,2,37.2937905111,127.1199260466
기흥구,우리내과의원,1,37.2961340029,127.1521267161
기흥구,모두가정의원,1,37.2817435143,127.1599766312
수지구,위편한내과의원,1,37.3315084298,127.1239240023
수지구,노블정형외과의원,4,37.3354159933,127.1086535026
수지구,김종화푸른소아과의원,1,37.3245163306,127.0947028007
수지구,클라스웰정형외과의원,2,37.3312494795,127.1275487633
기흥구,예임정형외과의원,2,37.2950944527,127.1134093909
기흥구,구성연세의원,3,37.294468291,127.117666123
기흥구,김학선내과의원,2,37.3003023414,127.1072783973
기흥구,다나이비인후과의원,1,37.2712366915,127.1281491236
기흥구,의료법인녹십자의료재단 녹십자의원,31,37.3177663749,127.1004272124
기흥구,365플러스이비인후과의원,4,37.3207431497,127.1146775783
기흥구,임마누엘피부과의원,1,37.3202717865,127.1138673623
수지구,의료법인엔티엘의료재단엔티엘의원,5,37.3319197413,127.1200613984
기흥구,서울소아청소년과의원,2,37.2765258357,127.0715432154
처인구,문소아청소년과의원,1,37.2673650016,127.2140655244
처인구,송승찬내과의원,1,37.2366419975,127.1982289341
수지구,은내과의원,1,37.3248702481,127.0980418828
수지구,수지그린정형외과의원,2,37.3148129306,127.080489908
수지구,수지연세정신과의원,1,37.322536172,127.095548655
수지구,해맑은소아청소년과의원,2,37.3231779493,127.0779941675
수지구,메디미의원,2,37.3067600253,127.0846083156
기흥구,연세이비인후과의원,1,37.2759130636,127.0715918075
기흥구,중동서울정형외과의원,4,37.2766761223,127.144117293
기흥구,박재홍 정신과의원,1,37.2717390293,127.1051258571
수지구,수지하나이비인후과의원,1,37.3067600253,127.0846083156
수지구,연세소아청소년과의원,3,37.3199399973,127.0876621118
기흥구,햇살산부인과의원,1,37.2759130636,127.0715918075
기흥구,필성형외과의원,2,37.2717390293,127.1051258571
수지구,선비뇨기과의원,1,37.3131101297,127.0781858757
기흥구,민이비인후과(이창기)의원,1,37.2776789103,127.1539939153
기흥구,강혜영정신건강의학과의원,1,37.2764039945,127.1526461647
수지구,현내과의원,2,37.3131101297,127.0781858757
처인구,연세수정형외과의원,1,37.2349698366,127.1964430778
처인구,이소아청소년과의원,1,37.2355897434,127.2063502745
처인구,장내과의원,3,37.2352272924,127.2092377632
처인구,신승무정형외과의원,1,37.2346980529,127.1994429663
처인구,한일의원,1,37.1654329203,127.3744579094
기흥구,정다운내과의원,1,37.2633041773,127.1085081622
기흥구,참가정의원,1,37.2661834411,127.1069368459
기흥구,연원푸른의원,1,37.3019538442,127.1105984964
기흥구,참사랑산부인과의원,1,37.2798637806,127.111535796
기흥구,우리가정의학과 의원,1,37.2571523534,127.1383338401
수지구,상현정형외과의원,3,37.3067600253,127.0846083156
기흥구,김정훈이비인후과의원,1,37.2535998246,127.109629647
기흥구,우리소아청소년과의원,1,37.2506102836,127.1078409073
기흥구,동백내과의원,1,37.277386404,127.1526078104
수지구,꾸러기소아청소년과의원,1,37.3088716507,127.0852850661
수지구,연세노블S의원,1,37.3283480149,127.1138034608
수지구,아산필내과의원,7,37.3283480149,127.1138034608
기흥구,동백제일의원,3,37.276942423,127.1487746634
기흥구,참편한내과의원,1,37.27184619,127.1270520442
수지구,이레소아청소년과의원,2,37.3277953492,127.0686335545
수지구,수지미래산부인과의원,41,37.3150140606,127.0864137437
기흥구,비젼내과의원,3,37.3198435021,127.1152126301
수지구,곽정아산부인과의원,1,37.3231017192,127.0948684138
기흥구,삼성노블카운티의원,5,37.2538876496,127.0855753746
기흥구,푸른소아과의원,1,37.2811266369,127.1118113199
수지구,최진수내과의원,1,37.3158968886,127.0735657162
수지구,이이비인후과의원,2,37.3067600253,127.0846083156
수지구,노블산부인과의원,1,37.3067600253,127.0846083156
수지구,서울가정의학과의원,1,37.3157925018,127.0746158796
수지구,연세수내과의원,11,37.3242196512,127.0949301342
수지구,이상봉마취통증의학과의원,2,37.3234111964,127.0957471295
수지구,해맑은내과의원,2,37.3198388788,127.0870983468
처인구,제일봄소아청소년과의원,1,37.2352714408,127.194547876
기흥구,참바른 신경외과의원,1,37.2824185473,127.15962389
기흥구,삼성드림아이소아청소년과의원,1,37.3037458622,127.1239945938
처인구,양지내과의원,1,37.2347993912,127.2829356308
기흥구,맑은이안과의원,1,37.2765156269,127.0737090085
기흥구,삼성그린소아과의원,2,37.2699544713,127.1541758912
기흥구,이춘수정신건강의학과의원,2,37.3003023414,127.1072783973
수지구,빛마취통증의학과의원,1,37.3382501682,127.1016959956
기흥구,기린웰소아청소년과의원,1,37.2779963615,127.1515897965
기흥구,밝은연세안과의원,1,37.2764039945,127.1526461647
기흥구,SB성형외과의원,1,37.3202016562,127.1089807048
수지구,이원병리과 의원,4,37.3271642293,127.1128952359
수지구,사랑내과의원,1,37.3284691292,127.1150106194
수지구,유수정소아청소년과의원,1,37.327377151,127.095703308
수지구,리본산부인과의원,1,37.3319939507,127.1235377839
수지구,강세기신경외과의원,1,37.3157925018,127.0746158796
처인구,나래신경과의원,1,37.2327126723,127.1880985507
기흥구,길내과의원,2,37.2765258357,127.0715432154
기흥구,서울삼성내과의원,8,37.3202717865,127.1138673623
기흥구,우리소아청소년과의원,1,37.2815748401,127.1608798426
기흥구,참조은마취통증의학과의원,1,37.3207588943,127.1112238303
기흥구,채장성내과의원,3,37.3202016562,127.1089807048
기흥구,찬찬정형외과의원,1,37.2724585851,127.1073666755
기흥구,구성이비인후과의원,1,37.2937905111,127.1199260466
수지구,위드준소아청소년과의원,2,37.3253249176,127.1100038667
수지구,유앤항외과의원,7,37.3231017192,127.0948684138
기흥구,리엔의원,2,37.3200530391,127.110380987
수지구,열린이비인후과의원,1,37.3126742793,127.0798246757
처인구,용인하나365의원,2,37.2309539732,127.1877337821
수지구,남다른재활의학과의원,1,37.3125953981,127.0804570894
처인구,웰봄소아청소년과의원,3,37.2312757659,127.1867065968
수지구,미리본의원,1,37.3199386704,127.0622000939
수지구,김태철이비인후과의원,1,37.3199399973,127.0876621118
처인구,용인성모의원,2,37.3385940465,127.2503049932
처인구,제일메디플러스의원,6,37.2698530802,127.2179135082
처인구,서상훈정신건강의학과의원,1,37.2352272924,127.2092377632
처인구,연세드림내과의원,1,37.2353932233,127.207072559
처인구,김종우안과의원,1,37.2352242769,127.2043787839
기흥구,우리성모마취통증의학과의원,1,37.2805493101,127.1116789191
수지구,수지항외과의원,1,37.322536172,127.095548655
수지구,더미스성형외과의원,2,37.323905523,127.095326864
