지역,사업장명,의사수,위도,경도
처인구,연세강남그랜드치과의원,1.0,37.23183782,127.1879105
기흥구,백영걸치과의원,1.0,37.27027782,127.1537796
기흥구,동백센트럴치과의원,1.0,37.27767891,127.1539939
처인구,제일메디치과의원,2.0,37.27580682,127.2275355
수지구,인플란트수지치과의원,1.0,37.32802813,127.0731698
처인구,서울수치과의원,1.0,37.16439608,127.3742569
수지구,죽전에스S치과의원,1.0,37.32753597,127.1135593
기흥구,모드니치과의원,1.0,37.26605054,127.1358439
수지구,수지오치과의원,1.0,37.30849181,127.084926
처인구,서울건치과의원,1.0,37.23479939,127.2829356
기흥구,우리아이치과의원,1.0,37.27651563,127.073709
처인구,신플란트치과의원,1.0,37.15282632,127.1701946
수지구,이편한치과의원,1.0,37.34539509,127.0928519
수지구,동천센트럴치과의원,1.0,37.33976584,127.0941354
처인구,용인하이치과의원,1.0,37.24095674,127.2152251
기흥구,기흥서울치과의원,2.0,37.27502441,127.1174148
수지구,봄누리치과의원,1.0,37.30785998,127.0846813
기흥구,바른스마일치과교정과치과의원,1.0,37.28054931,127.1116789
기흥구,연세베스트치과의원,1.0,37.28058972,127.1130098
수지구,광교웃음진치과의원,1.0,37.29767502,127.0697534
기흥구,닥터백치과의원,1.0,37.26532705,127.0962044
수지구,서울더웃는치과의원,2.0,37.32202762,127.0944453
처인구,성모서울치과의원,2.0,37.23544867,127.2076248
기흥구,드림이든소아치과의원,1.0,37.27591306,127.0715918
기흥구,서울플란트치과의원,1.0,37.29927735,127.1080623
수지구,성복정원치과의원,1.0,37.31446576,127.0842838
기흥구,서울허브치과의원,5.0,37.26942696,127.0931485
처인구,더라인치과교정과치과의원,2.0,37.23508365,127.2058224
기흥구,램브란트치과의원,1.0,37.30418612,127.0988516
기흥구,오르다치과의원,2.0,37.23701753,127.0740217
수지구,서울미건치과의원,2.0,37.33240745,127.0932381
기흥구,유디치과의원,2.0,37.27701024,127.153433
기흥구,올바름치과의원,1.0,37.27286974,127.1201102
수지구,휴플러스치과의원,1.0,37.3127533,127.0817766
수지구,진치과의원,1.0,37.32293002,127.0767201
기흥구,미푸른치과의원,2.0,37.28909364,127.1114094
기흥구,유앤미치과의원,2.0,37.25024767,127.1072226
기흥구,이좋은치과의원,1.0,37.31401614,127.1111118
수지구,상현수치과의원,1.0,37.30277061,127.0805568
수지구,그린치과의원,1.0,37.33224623,127.1235027
기흥구,디자인유시치과의원,1.0,37.30343767,127.1234545
기흥구,클로버치과의원,1.0,37.25797641,127.1425475
수지구,수지드림치과의원,1.0,37.32202762,127.0944453
기흥구,유디신갈치과의원,1.0,37.27043286,127.1053808
기흥구,오션치과의원,1.0,37.3207561,127.11312
수지구,연세이미지치과의원,1.0,37.33166757,127.1173309
기흥구,위즈플러스치과의원,2.0,37.27784097,127.0737918
수지구,이지치과의원,1.0,37.3246253,127.0975804
수지구,워싱턴치과의원,1.0,37.33194703,127.1257957
수지구,용인수지의료소비자생활협동조합래미안치과의원,1.0,37.3201471,127.0980783
수지구,미소래치과의원,1.0,37.31993867,127.0622001
수지구,광교이사랑치과의원,1.0,37.29781616,127.0689064
기흥구,보스톤아름다운치과,1.0,37.29478147,127.151975
수지구,굿페이스치과의원,1.0,37.32119174,127.0951495
기흥구,김태진치과의원,1.0,37.27105515,127.1054791
기흥구,기흥한마음치과,1.0,37.22263729,127.0990134
처인구,용인치과의원,1.0,37.23558974,127.2063503
수지구,고운이치과의원,1.0,37.32235393,127.094974
수지구,세현치과의원,1.0,37.33614115,127.1044503
처인구,인치과의원,1.0,37.23540655,127.2051785
기흥구,보스톤아름다운치과의원,1.0,37.29478147,127.151975
기흥구,비젼치과의원,1.0,37.3198435,127.1152126
수지구,최중설치과의원,1.0,37.35888248,127.04184
기흥구,까페거리치과의원,1.0,37.32151856,127.1092448
기흥구,더원치과의원,3.0,37.28758005,127.1089014
수지구,조은치과,1.0,37.3246253,127.0975804
기흥구,미소담치과의원,1.0,37.2811841,127.1100964
처인구,용인다안치과의원,1.0,37.23463561,127.2032763
수지구,효생치과의원,1.0,37.3089315,127.0767309
기흥구,죽전오케이치과의원,1.0,37.32025784,127.1151202
처인구,더라인치과의원,1.0,37.23464558,127.2036595
수지구,갤러리치과의원,1.0,37.30714857,127.084877
처인구,용인치과의원,3.0,37.23558974,127.2063503
수지구,수지길치과의원,1.0,37.31074141,127.0812686
기흥구,일곱가지약속치과의원,1.0,37.32073278,127.11426
수지구,서울지혜치과의원,1.0,37.31528264,127.0807694
기흥구,어정모아치과의원,1.0,37.27588541,127.1449557
수지구,이치과의원,1.0,37.32590224,127.1184325
수지구,세종치과의원,1.0,37.33128976,127.1175699
처인구,가지런한 용인치과의원,4.0,37.23508365,127.2058224
수지구,서울예지치과의원,1.0,37.30887165,127.0852851
처인구,이사랑치과의원,1.0,37.33713171,127.2493164
기흥구,룡플란트치과의원,1.0,37.2721154,127.1266672
처인구,타임치과의원,1.0,37.23608366,127.2056043
수지구,도담수치과의원,1.0,37.32620835,127.118318
수지구,엘치과의원,1.0,37.32359934,127.0773597
처인구,성치과의원,1.0,37.23419112,127.2855078
기흥구,서울위드치과의원,1.0,37.32078071,127.1151401
수지구,갤러리치과의원,1.0,37.30714857,127.084877
기흥구,웰치과의원,2.0,37.27041271,127.1269689
기흥구,e프랜드치과의원,1.0,37.27090048,127.1272936
기흥구,스타치과의원,1.0,37.27483022,127.0737636
기흥구,신갈현대치과의원,1.0,37.27178793,127.1062761
수지구,샤론치과의원,1.0,37.33176102,127.1183577
기흥구,윤석제치과의원,1.0,37.25428478,127.1206884
수지구,NYU아름다운치과교정과치과의원,1.0,37.32101015,127.0947668
기흥구,미플란트치과의원,1.0,37.296134,127.1521267
기흥구,드림이든소아치과의원,1.0,37.27591306,127.0715918
기흥구,갈보리치과의원,1.0,37.27313936,127.1370956
수지구,정성가득미소치과의원,1.0,37.30844282,127.076192
수지구,뉴욕미치과의원,1.0,37.33196464,127.1228268
기흥구,연세웰치과의원,1.0,37.32027179,127.1138674
기흥구,서울닥터유치과의원,2.0,37.32005304,127.110381
수지구,수지열린치과의원,1.0,37.32425758,127.0774238
수지구,상아치과의원,1.0,37.32431807,127.0973563
수지구,아오스치과의원,1.0,37.32705407,127.1122863
기흥구,365일이가편한연세치과의원,2.0,37.3039632,127.1243095
수지구,단국대학교 치과대학 죽전치과병원,34.0,37.31905104,127.1295728
수지구,도담주니어치과의원,1.0,37.32797967,127.1141778
기흥구,이플러스넷치과의원,1.0,37.24389548,127.066643
기흥구,유앤아이시카고치과의원,3.0,37.27591306,127.0715918
처인구,더라인치과교정과치과의원,2.0,37.23508365,127.2058224
수지구,연세예본치과의원,1.0,37.31305001,127.0790213
수지구,보스턴미치과의원,1.0,37.30887165,127.0852851
수지구,보스톤서울치과의원,1.0,37.3157925,127.0746159
수지구,이튼치과의원,1.0,37.30946897,127.0859702
수지구,노용환치과의원,1.0,37.31994,127.0876621
처인구,용인탑치과의원,1.0,37.23573653,127.2073869
기흥구,연세레이치과의원,2.0,37.27092725,127.1022765
수지구,광교이음치과의원,1.0,37.2973593,127.0696875
수지구,일등플란트치과의원,1.0,37.31282887,127.0802075
기흥구,백영걸치과의원,1.0,37.27027782,127.1537796
기흥구,서울미소디자인치과의원,1.0,37.27799636,127.1515898
기흥구,뉴욕다나치과의원,1.0,37.27676929,127.0715644
기흥구,아이티치과의원,1.0,37.2707065,127.0675947
수지구,수지오치과의원,1.0,37.30849181,127.084926
기흥구,보스톤치과의원,1.0,37.27138869,127.1277536
수지구,이모든치과의원,1.0,37.33825017,127.101696
처인구,용인예치과의원,1.0,37.23703835,127.2089264
처인구,마음심는치과의원,1.0,37.16427062,127.3749554
기흥구,이좋은치과의원,1.0,37.31401614,127.1111118
기흥구,디오비치과의원,1.0,37.32025784,127.1151202
처인구,용인치과의원,4.0,37.23508365,127.2058224
기흥구,위즈플러스치과의원,1.0,37.27784097,127.0737918
수지구,수지좋은치과의원,1.0,37.3212348,127.0945624
처인구,천리바른마음치과의원,2.0,37.19198192,127.2072629
기흥구,리올란트치과의원,1.0,37.32005304,127.110381
수지구,수지예치과의원,5.0,37.31267428,127.0798247
수지구,서울더웃는치과의원,2.0,37.32202762,127.0944453
수지구,광교미소바른치과의원,1.0,37.29851993,127.0690942
처인구,아름다운치과의원,1.0,37.23539322,127.2070726
처인구,올리브치과의원,1.0,37.23434556,127.1955437
기흥구,덴아트치과의원,1.0,37.30397128,127.1046527
기흥구,유앤미치과의원,2.0,37.25024767,127.1072226
기흥구,연원필치과의원,1.0,37.30030234,127.1072784
기흥구,뉴연세치과의원,2.0,37.27801094,127.1534848
기흥구,동백센트럴치과의원,1.0,37.27767891,127.1539939
기흥구,I-플러스치과의원,1.0,37.27591306,127.0715918
처인구,포곡치과의원,1.0,37.26760838,127.2140646
수지구,광교치과의원,1.0,37.29607775,127.0692548
기흥구,탑실피오레치과의원,1.0,37.2388998,127.110179
수지구,죽전에스S치과의원,1.0,37.32753597,127.1135593
기흥구,정다운치과의원,1.0,37.26174098,127.1046593
기흥구,아이가행복한치과의원,1.0,37.28112664,127.1118113
처인구,용인플란트치과의원,1.0,37.2327565,127.2088527
