지역,사업장명,경도,위도,의사수
처인구,한숲다솜약국,127.1700465,37.1528184,1
기흥구,어정메디칼약국,127.1441129,37.2766842,1
기흥구,모두사랑약국,127.1089433,37.2722065,1
기흥구,린우약국,127.1404647,37.2575234,1
처인구,경기약국,127.1966747,37.2349837,1
기흥구,일호약국,127.1487474,37.2694563,1
기흥구,언남이화약국,127.1199155,37.2945283,1
기흥구,몸사랑마음사랑 한약국,127.109757,37.2389631,1
수지구,광교봄빛약국,127.0699527,37.2983853,1
수지구,한아름약국,127.0780476,37.3232084,1
기흥구,준약국,127.1008974,37.3194718,1
수지구,성복역 4번출구 약국,127.079027,37.3130573,1
수지구,플러스하야 약국,127.0832314,37.3125615,1
처인구,용인1번약국,127.2012829,37.2358227,1
처인구,우리정감약국,127.2037885,37.2352227,1
수지구,수지프라임 약국,127.1013616,37.3382513,1
수지구,행복한약국,127.1086689,37.3354124,1
수지구,죽전 센트럴약국,127.1081252,37.3249507,1
처인구,중앙약국,127.2007842,37.2356637,1
기흥구,건강을 이야기하는 부부약국,127.1142797,37.3202944,1
수지구,앞서가는 21세기 약국,127.1122986,37.3270453,1
수지구,성복역 미르약국,127.0794587,37.3125568,1
수지구,희망약국,127.09494,37.3230615,1
수지구,동네약국,127.0810234,37.3107116,1
처인구,행복한약국,127.2149309,37.2684504,1
수지구,가람약국,127.0853324,37.3089181,1
수지구,이화옵티마약국,127.09494,37.3230615,1
기흥구,3층 온누리약국,127.1179654,37.2747434,1
기흥구,연세소망약국,127.1531617,37.2674017,1
기흥구,마북서울약국,127.1235346,37.3040957,1
수지구,드림약국,127.0849269,37.3084997,1
기흥구,메디필약국,127.1534587,37.2770114,1
수지구,수지약국,127.0862953,37.3148354,1
기흥구,조일약국,127.0737358,37.2767873,1
수지구,메디칼약국,127.0948144,37.3222416,1
수지구,상현메디칼약국,127.0845117,37.3078007,1
처인구,온세상약국,127.209235,37.2351994,1
수지구,하나온누리약국,127.1235041,37.3314954,1
수지구,정다운온누리약국,127.1276285,37.3312751,1
수지구,이화약국,127.068247,37.316781,1
처인구,삼가역약국,127.1710012,37.241068,1
기흥구,열린약국,127.1512994,37.2696501,1
수지구,삼성메디칼약국,127.0980914,37.3201683,1
수지구,수지윤약국,127.09494,37.3230615,1
기흥구,동백대학온누리약국,127.1487474,37.2694563,1
수지구,우미지산약국,127.0717872,37.3003296,1
기흥구,동백중앙약국,127.1525981,37.2774042,1
기흥구,호수온누리약국,127.1519062,37.2767035,1
처인구,용인태평양약국,127.2100726,37.2311986,1
처인구,우리건강약국,127.1969632,37.1403309,1
기흥구,정문약국,127.1484381,37.2719401,1
처인구,마음속약국,127.1877634,37.2309265,1
기흥구,동백당근약국,127.159624,37.2824121,1
수지구,로얄약국,127.09494,37.3230615,1
기흥구,언남프라자약국,127.1199155,37.2945283,1
기흥구,태영약국,127.1389995,37.2742184,1
수지구,청운약국,127.1235406,37.3319669,1
처인구,한숲약국,127.1716732,37.1532751,1
기흥구,사랑약국,127.1506086,37.2830247,1
처인구,그랜드약국,127.2037731,37.2362865,1
수지구,샘물약국,127.0946889,37.3245239,1
수지구,하늘빛약국,127.0717872,37.3003296,1
수지구,유타워 온누리약국,127.1013616,37.3382513,1
수지구,광교퍼스트약국,127.0694623,37.2965623,1
수지구,솔약국,127.0853649,37.3064775,1
처인구,햇살약국,127.1875703,37.233188,1
기흥구,태양약국,127.1108903,37.2793531,1
기흥구,늘참조은약국,127.109757,37.2389631,1
기흥구,가까운독수리약국,127.1487474,37.2694563,1
처인구,명인약국,127.2077254,37.2359371,1
기흥구,나래약국,127.1085035,37.2633039,1
기흥구,연세건강약국,127.1512994,37.2696501,1
기흥구,건강약국,127.1207504,37.2938993,1
처인구,코끼리약국,127.2501392,37.3371633,1
처인구,백암약국,127.3743198,37.1654833,1
기흥구,동백꽃길약국,127.1484381,37.2719401,1
기흥구,동백가까운온누리약국,127.1487474,37.2694563,1
수지구,온누리수지약국,127.0946889,37.3245239,1
기흥구,성원약국,127.1142797,37.3202944,1
처인구,정약국,127.1933413,37.2355447,1
수지구,수지 오송한약국,127.0701822,37.2971123,1
기흥구,흥덕온누리약국,127.0733378,37.2757484,1
수지구,라임약국,127.073174,37.3280134,1
수지구,단비약국,127.0959113,37.3222113,1
기흥구,참좋은약국,127.1487743,37.2769424,1
수지구,토마토약국,127.1128959,37.3271923,1
수지구,수지민들레 한약국,127.0975921,37.3246176,1
기흥구,보라온누리약국,127.1092593,37.2542554,1
수지구,기린약국,127.0746422,37.3158106,1
수지구,비타민약국,127.081613,37.3128099,1
수지구,푸른온누리약국,127.0955578,37.3225277,1
수지구,친절한 해든약국,127.0916456,37.3363774,1
